common name,scientific name,cloudinary url
Stonemason Toadlet,Uperoleia lithomoda,https://res.cloudinary.com/ausmus/video/upload/v1502255486/mqe3kl9wkhitygnhld1d.m4a
South Coast Froglet,Crinia subinsignifera,http://res.cloudinary.com/ausmus/video/upload/v1479991723/plarjyvi3ccld4bswo12.m4a
Mimic Toadlet,Uperoleia mimula,https://res.cloudinary.com/ausmus/video/upload/v1506654816/zx7wk3di3ehfqvvsboto.m4a
Long-footed Frog,Cyclorana longipes,https://res.cloudinary.com/ausmus/video/upload/v1506404482/huhibxzsdvufnxk1ouuc.m4a
Whirring Tree Frog,Litoria revelata,https://res.cloudinary.com/ausmus/video/upload/v1520749041/ltvtqd2jigyjmqmntie2.m4a
Northern Ornate Nursery Frog,Cophixalus ornatus,https://res.cloudinary.com/ausmus/video/upload/v1502252832/yvkahsabzv7om6ggkatx.m4a
Sudell's Frog,Neobatrachus sudellae,https://res.cloudinary.com/ausmus/video/upload/v1554062405/dmq4mimkcuomr8fyqujt.m4a
Wide-mouthed Frog,Cyclorana novaehollandiae,https://res.cloudinary.com/ausmus/video/upload/v1506404747/ltdzo9hkzt0zyclihdjd.m4a
Victoria Smooth Froglet,Geocrinia victoriana,https://res.cloudinary.com/ausmus/video/upload/v1502253420/zoic8thzlfocd1uy53pt.m4a
Wrinkled Toadlet,Uperoleia rugosa,https://res.cloudinary.com/ausmus/video/upload/v1520054705/vwi4xtfdvo5rcvxijnfe.m4a
Northern Spadefoot,Notaden melanoscaphus,https://res.cloudinary.com/ausmus/video/upload/v1506406741/lpky61tqvkca1dcedzey.m4a
Tasmanian Froglet,Crinia tasmaniensis,https://res.cloudinary.com/ausmus/video/upload/v1518834558/b6btkm3w41jcz8zurlm7.m4a
Javelin Frog,Litoria microbelos,https://res.cloudinary.com/ausmus/video/upload/v1502254286/emxjk83zzsrugmrxavoa.m4a
Striped Burrowing Frog,Cyclorana alboguttata,https://res.cloudinary.com/ausmus/video/upload/v1507770831/u4dfed6h2c2j3decz1cc.m4a
Victorian Tree Frog,Litoria paraewingi,https://res.cloudinary.com/ausmus/video/upload/v1502258128/zfmlr52xexwpjvpk87wo.m4a
Crawling Toadlet,Pseudophryne guentheri,http://res.cloudinary.com/ausmus/video/upload/v1479991666/s1qmx5refudagadgm9px.m4a
Mottled Barred Frog,Mixophyes coggeri,https://res.cloudinary.com/ausmus/video/upload/v1518037035/t8gd4btzcs7edswbbvku.m4a
Haswell's Froglet,Paracrinia haswelli,https://res.cloudinary.com/ausmus/video/upload/v1508122609/dsqdvyhub4aiszy3up9r.m4a
Southern Ornate Nursery Frog,Cophixalus australis,https://res.cloudinary.com/ausmus/video/upload/v1502252551/bi2j1n73by4jg6qxjreq.m4a
Montane Toadlet,Uperoleia altissima,https://res.cloudinary.com/ausmus/video/upload/v1502255398/nlgz8fdntzoxwhoarlrh.m4a
Eastern Stony Creek Frog,Litoria wilcoxii,http://res.cloudinary.com/ausmus/video/upload/v1479990904/m5zvg8etnuzkwiqpl5lt.m4a
Tasmanian Smooth Froglet,Geocrinia laevis,https://res.cloudinary.com/ausmus/video/upload/v1526795730/cuhkpcxwjzf8gttoehu8.m4a
Short-footed Frog,Cyclorana brevipes,https://res.cloudinary.com/ausmus/video/upload/v1506402528/fqloxctwdzfcnn2eb1ub.m4a
Jervis Bay Tree Frog,Litoria jervisiensis,https://res.cloudinary.com/ausmus/video/upload/v1511304551/pbmaqkhjb8ve2pzwh0i2.m4a
Tyler's Toadlet,Uperoleia tyleri,https://res.cloudinary.com/ausmus/video/upload/v1545796083/hvmka9jqmhn98utvcjep.m4a
Wood frog,Papurana daemeli,https://res.cloudinary.com/ausmus/video/upload/v1518765113/lyx2i9bn9ykvw7nwtozj.m4a
Tawny Rocket Frog,Litoria nigrofrenata,https://res.cloudinary.com/ausmus/video/upload/v1518132094/rhd1ttrayvqfjd1u29cp.m4a
Giant Banjo Frog,Limnodynastes interioris,https://res.cloudinary.com/ausmus/video/upload/v1514111885/sjtbv3aymp88kinwsqzs.m4a
Salmon-striped Frog,Limnodynastes salmini,https://res.cloudinary.com/ausmus/video/upload/v1514111997/ik2fmp9ep0srzm0t6f8q.m4a
Forest Toadlet,Metacrinia nichollsi,http://res.cloudinary.com/ausmus/video/upload/v1479991100/lnywgetn0jwr0kksymwm.m4a
Rain Whistling Frog,Austrochaperina pluvialis,https://res.cloudinary.com/ausmus/video/upload/v1507770469/pd4ibkmdh0gj6ase29sz.wav
Blue Mountains Tree Frog,Litoria citropa,https://res.cloudinary.com/ausmus/video/upload/v1508122388/oroe2aeknhabta4uy6jq.m4a
Main's Frog,Cyclorana maini,https://res.cloudinary.com/ausmus/video/upload/v1509607864/bx4lhx2sa3fc5aqlhu3e.m4a
Barrington Tops Tree Frog,Litoria barringtonensis,http://res.cloudinary.com/ausmus/video/upload/v1479991442/nbx4axt3s5odti2lbpad.m4a
Bilingual Froglet,Crinia bilingua,https://res.cloudinary.com/ausmus/video/upload/v1506302336/dounsqfbsyag8b1xuugb.m4a
Copper-backed Toadlet,Pseudophryne raveni,https://res.cloudinary.com/ausmus/video/upload/v1506654123/jgiaeluvyvdacx7przjk.m4a
Fry's Frog,Austrochaperina fryi,https://res.cloudinary.com/ausmus/video/upload/v1507770325/j3d8ya7jqhesvqlkwf2w.m4a
Rough Frog,Cyclorana verrucosa,https://res.cloudinary.com/ausmus/video/upload/v1508727457/raqtwxbygraa7tsexbet.m4a
Spotted-thighed Frog,Litoria cyclorhyncha,https://res.cloudinary.com/ausmus/video/upload/v1506402994/bvbwgdwrzmr2n22fvryg.m4a
Stony Creek Frog,Litoria lesueuri,https://res.cloudinary.com/ausmus/video/upload/v1510028931/fyesgflpwekoqowqtl5t.m4a
Robust Whistling Frog,Austrochaperina robusta,https://res.cloudinary.com/ausmus/video/upload/v1506301711/eptiw13qjfsfpqrlpmyv.m4a
Knife-footed Frog,Cyclorana cultripes,https://res.cloudinary.com/ausmus/video/upload/v1506402942/wymai0kdaqsltwrc5xtl.m4a
Littlejohn's Toadlet,Uperoleia littlejohni,https://res.cloudinary.com/ausmus/video/upload/v1520463787/fwhnact5tljsgtcpcrrq.m4a
Northern Whistling Frog,Austrochaperina gracilipes,https://res.cloudinary.com/ausmus/video/upload/v1506301591/y7t6avm3w2zkikqthw9j.m4a
Eastern Water-holding Frog,Cyclorana platycephala,https://res.cloudinary.com/ausmus/video/upload/v1508727534/nc76hqs7erab6yyy8rhj.m4a
Spencer's Burrowing Frog,Platyplectrum spenceri,https://res.cloudinary.com/ausmus/video/upload/v1520748951/t1odkbntwgydbfwgl1ix.m4a
Northern Territory Frog,Austrochaperina adelphe,https://res.cloudinary.com/ausmus/video/upload/v1580430063/xnxgkqnvr1cmbd2qh3x1.m4a
Buzzing Tree Frog,Litoria electrica,https://res.cloudinary.com/ausmus/video/upload/v1507771494/jpxwmhffpndg33qjupys.m4a
Painted Frog,Neobatrachus pictus,https://res.cloudinary.com/ausmus/video/upload/v1528757526/sinlhfkzisk6lztwc8c3.m4a
Large Toadlet,Pseudophryne major,https://res.cloudinary.com/ausmus/video/upload/v1502255231/qot9vkckospysv2cjfpm.m4a
Cape York Graceful Tree Frog,Litoria bella,https://res.cloudinary.com/ausmus/video/upload/v1507893201/ojehwbqqeabofjvjrdde.wav
Wheatbelt Frog,Neobatrachus kunapalari,http://res.cloudinary.com/ausmus/video/upload/v1479991323/g4wrbievo7ur2gmcsuii.m4a
Crucifix Frog,Notaden bennettii,https://res.cloudinary.com/ausmus/video/upload/v1520799451/jwiqfr6fgwbzyaxxsrgo.m4a
Western Spotted Frog,Heleioporus albopunctatus,http://res.cloudinary.com/ausmus/video/upload/v1479991501/y8kz3tvkziphmbwr5fc3.m4a
Small Toadlet,Uperoleia minima,https://res.cloudinary.com/ausmus/video/upload/v1506654859/mo4mmjg7ygj6hdczr6g9.m4a
Hooting Frog,Heleioporus barycragus,http://res.cloudinary.com/ausmus/video/upload/v1479991654/e6h2fzfi38naztkbi7jv.m4a
Fat Toadlet,Uperoleia crassa,https://res.cloudinary.com/ausmus/video/upload/v1506654613/v5suwecudgoegoy1baae.m4a
Northern Toadlet,Uperoleia borealis,https://res.cloudinary.com/ausmus/video/upload/v1506654540/nmmkws8o7urnusailzmm.m4a
Northern Stony Creek Frog,Litoria jungguy,https://res.cloudinary.com/ausmus/video/upload/v1506404307/thltdged3mw1aknskde1.m4a
Shoemaker Frog,Neobatrachus sutor,http://res.cloudinary.com/ausmus/video/upload/v1479990783/wijkzffmy9xckhzxycld.m4a
Desert Spadefoot ,Notaden nichollsi,https://res.cloudinary.com/ausmus/video/upload/v1508727384/knfprijghsfeh0u8v3lw.m4a
Pilbara Toadlet,Uperoleia saxatilis,https://res.cloudinary.com/ausmus/video/upload/v1540618043/q6ptbpxbfw1qgl4veeow.m4a
Sand Frog ,Heleioporus psammophilus,http://res.cloudinary.com/ausmus/video/upload/v1479990820/hngxfziucirxtkpmtbgs.m4a
Copland's Rock Frog,Litoria coplandi,https://res.cloudinary.com/ausmus/video/upload/v1506402787/ldremawa1ufobesxfgdz.m4a
Turtle Frog,Myobatrachus gouldii,http://res.cloudinary.com/ausmus/video/upload/v1479991476/c7vcj1zofnz6kxh63yvo.m4a
Mjoberg's Toadlet,Uperoleia mjobergii,https://res.cloudinary.com/ausmus/video/upload/v1506654909/mey687kdhgpmozyfjbtn.m4a
Gorge Toadlet,Pseudophryne douglasi,https://res.cloudinary.com/ausmus/video/upload/v1528757469/mtojam0zlyjvf9oncfsg.m4a
Small Frog,Cyclorana manya,https://res.cloudinary.com/ausmus/video/upload/v1507771025/kcavvg5cvu1bqkjtykuc.m4a
Rockhole Frog,Litoria meiriana,https://res.cloudinary.com/ausmus/video/upload/v1506404525/naogffhezztpxeikagdf.m4a
Mole Toadlet,Uperoleia talpa,https://res.cloudinary.com/ausmus/video/upload/v1506654997/ewuahgh5bldhm4dlrrf3.m4a
Woodworker Frog,Limnodynastes lignarius,https://res.cloudinary.com/ausmus/video/upload/v1546729858/ocav8nc2yz1qwunaj9gi.m4a
Centralian Tree Frog,Litoria gilleni,https://res.cloudinary.com/ausmus/video/upload/v1546413210/pw8twbetfgfcxam8p2if.m4a
Daly Waters Frog,Cyclorana maculosa,null
Magnificent Tree Frog,Litoria splendida,https://res.cloudinary.com/ausmus/video/upload/v1506405327/qrmxuamewshceuqembga.m4a
Northern Barred Frog,Mixophyes schevilli,null
Whooping Frog,Heleioporus inornatus,http://res.cloudinary.com/ausmus/video/upload/v1479991122/wpv9qtkm3we5hdvbybs0.m4a
Kimberley Rockhole Frog,Litoria aurifera,https://res.cloudinary.com/ausmus/video/upload/v1506401908/gxf31pnh0bvkvd1e60dl.m4a
Hidden-ear frog,Cyclorana cryptotis,https://res.cloudinary.com/ausmus/video/upload/v1506402879/jnsngqkqncmiy64ewgig.m4a
Northern Flinders Ranges Froglet,Crinia flindersensis,null
Fletcher's Frog,Lechriodus fletcheri,https://res.cloudinary.com/ausmus/video/upload/v1512164199/f3z2cgkptscjmsvvyhwa.m4a
Western Water-holding Frog,Cyclorana occidentalis,https://res.cloudinary.com/ausmus/video/upload/v1546390211/q7isu15buqg9aalqcxud.m4a
Flat-headed Frog,Limnodynastes depressus,https://res.cloudinary.com/ausmus/video/upload/v1506304568/candrfjrdbi7glehnave.m4a
Cave Frog,Litoria cavernicola,https://res.cloudinary.com/ausmus/video/upload/v1506402687/bktrihndncrmht3l9tnm.m4a
Northern Trilling Frog,Neobatrachus aquilonius,https://res.cloudinary.com/ausmus/video/upload/v1515788537/gtkxladwwvgthlwlizbr.m4a
Plonking Frog,Neobatrachus wilsmorei,http://res.cloudinary.com/ausmus/video/upload/v1479990850/qwewr4uswy18tc4s6uvk.m4a
Kimberley Spadefoot,Notaden weigeli,https://res.cloudinary.com/ausmus/video/upload/v1506406805/qfsud0dsdqxdtlnwckzf.m4a
Dendy's Toadlet ,Pseudophryne dendyi,https://res.cloudinary.com/ausmus/video/upload/v1502255197/xlxvfqfhvng2mdbip1vd.m4a
Tiny Toadlet,Uperoleia micra,null
Humming Frog,Neobatrachus pelobatoides,http://res.cloudinary.com/ausmus/video/upload/v1479991543/cngzzqnxcy7lcvoipzlv.m4a
Jabiru Toadlet,Uperoleia arenicola,null
Derby Toadlet,Uperoleia aspera,https://res.cloudinary.com/ausmus/video/upload/v1506654502/zyg1gia6psqq6l97fpup.m4a
Northwest Toadlet,Uperoleia russelli,https://res.cloudinary.com/ausmus/video/upload/v1508387250/ji9wxgkakr9z0mjc9vqn.m4a
Blacksoil Toadlet,Uperoleia trachyderma,https://res.cloudinary.com/ausmus/video/upload/v1508387392/g1efxfdtekvvbspqe0xk.m4a
